timestamp,R,G,B
0.0,180.1839,140.143,115.1175
0.0333,180.6195,138.6948,115.1756
0.0667,181.0367,137.4939,115.2542
0.1,181.1012,136.4866,115.1651
0.1333,181.82,136.5658,115.5652
0.1667,181.6832,136.5522,115.4892
0.2,181.4357,136.9167,115.3998
0.2333,180.7422,137.2204,115.0606
0.2667,180.915,138.2868,115.2858
0.3,180.4783,138.8021,115.1121
0.3333,180.1645,139.2404,114.9957
0.3667,179.9855,139.6017,114.9431
0.4,180.0471,140.0367,115.0301
0.4333,179.8015,140.2327,114.9209
0.4667,180.0179,140.9015,115.1208
0.5,179.2719,141.0035,114.7282
0.5333,179.2301,141.826,114.8069
0.5667,179.1911,142.7277,114.8968
0.6,178.8131,143.2769,114.7592
0.6333,178.0909,143.2721,114.3664
0.6667,178.1963,143.4469,114.4452
0.7,178.5298,143.2264,114.5991
0.7333,179.1782,142.6733,114.8831
0.7667,179.1192,141.102,114.6575
0.8,179.8061,139.8492,114.8761
0.8333,180.7517,138.7976,115.2601
0.8667,181.1382,137.5728,115.319
0.9,181.3081,136.6476,115.2973
0.9333,181.641,136.4266,115.4509
0.9667,181.772,136.6213,115.546
1.0,180.9747,136.5581,115.1052
1.0333,181.4313,137.7563,115.5008
1.0667,180.9331,138.3009,115.2974
1.1,180.6591,138.9428,115.2277
1.1333,180.3411,139.3777,115.1086
1.1667,180.426,139.9443,115.2245
1.2,180.0924,140.0718,115.059
1.2333,179.6865,140.1432,114.8474
1.2667,179.8879,140.8004,115.0377
1.3,179.1445,140.9044,114.6468
1.3333,179.1418,141.7574,114.7505
1.3667,178.7861,142.4128,114.6381
1.4,178.7388,143.219,114.7117
1.4333,178.7902,143.8159,114.8132
1.4667,178.5603,143.73,114.6778
1.5,178.0877,142.8825,114.3167
1.5333,179.0905,142.605,114.827
1.5667,179.5237,141.4166,114.9159
1.6,180.142,140.1104,115.0907
1.6333,180.7545,138.7998,115.2618
1.6667,181.5809,137.9172,115.6019
1.7,181.0552,136.4509,115.1358
1.7333,181.5885,136.3857,115.4173
1.7667,181.4976,136.4079,115.3707
1.8,181.37,136.8655,115.3578
1.8333,181.3571,137.6986,115.4534
1.8667,180.7511,138.1593,115.1811
1.9,180.4563,138.7851,115.0981
1.9333,180.1918,139.2616,115.0132
1.9667,180.0737,139.6703,114.9994
2.0,180.148,140.1151,115.0945
2.0333,179.7518,140.194,114.8891
2.0667,179.9313,140.8341,115.0655
2.1,179.5981,141.2573,114.9367
2.1333,178.993,141.6417,114.6554
2.1667,178.7713,142.4013,114.6286
2.2,178.7081,143.1952,114.6921
2.2333,178.4765,143.5719,114.6127
2.2667,178.0545,143.3366,114.3546
2.3,178.7389,143.389,114.7327
2.3333,178.9992,142.534,114.7687
2.3667,179.3619,141.2908,114.8125
2.4,180.2664,140.2072,115.1702
2.4333,180.3847,138.5122,115.0256
2.4667,181.2713,137.6764,115.4041
2.5,181.3412,136.6733,115.3185
2.5333,181.6409,136.4265,115.4508
2.5667,181.2037,136.1793,115.1829
2.6,181.3538,136.8529,115.3474
2.6333,181.1974,137.5744,115.3514
2.6667,180.8334,138.2234,115.2337
2.7,180.4096,138.7487,115.0683
2.7333,180.226,139.2882,115.0351
2.7667,180.057,139.6573,114.9887
2.8,179.568,139.664,114.724
2.8333,179.9254,140.329,115.0
2.8667,179.6247,140.5957,114.8696
2.9,179.6058,141.2632,114.9415
2.9333,179.024,141.6658,114.6752
2.9667,178.9062,142.5061,114.7148
3.0,178.4407,142.9872,114.5213
3.0333,178.4792,143.5741,114.6145
3.0667,178.1878,143.4403,114.4398
3.1,178.6567,143.325,114.6802
3.1333,179.0739,142.5921,114.8165
3.1667,179.3529,141.2837,114.8068
3.2,180.1545,140.1202,115.0987
3.2333,180.4969,138.5994,115.0973
3.2667,180.8936,137.3826,115.1628
3.3,181.4104,136.7271,115.3627
3.3333,181.7089,136.4794,115.4942
3.3667,181.559,136.4557,115.4099
3.4,181.3225,136.8286,115.3275
3.4333,181.2294,137.5993,115.3718
3.4667,180.9792,138.3368,115.3268
3.5,180.4726,138.7977,115.1085
3.5333,180.4375,139.4527,115.1701
3.5667,180.0193,139.628,114.9646
3.6,180.1142,140.0888,115.073
3.6333,179.7547,140.1962,114.891
3.6667,179.5695,140.5527,114.8343
3.7,179.487,141.1708,114.8657
3.7333,179.0867,141.7146,114.7153
3.7667,178.907,142.5068,114.7153
3.8,178.8632,143.3158,114.7912
3.8333,178.4255,143.5323,114.5802
3.8667,178.0623,143.3427,114.3596
3.9,178.481,143.1884,114.568
3.9333,178.8789,142.4405,114.6919
3.9667,179.8348,141.6585,115.1146
4.0,180.0693,140.0539,115.0443
4.0333,180.4375,138.5533,115.0593
4.0667,180.7768,137.2918,115.0882
4.1,181.7875,137.0204,115.6036
